Date,Open,High,Low,Close,Volume
2002-07-01,2.7991386657541546,2.9047664353976645,2.7516060434963414,2.809701442718506,872345.0
2002-07-02,2.7991376366967415,2.9787047790757692,2.7991376366967415,2.9047653675079346,1375155.0
2002-07-03,3.1160219076160454,3.1160219076160454,2.904766138113248,2.9206104278564453,1782545.0
2002-07-04,3.211087022951269,3.211087022951269,2.9153290341885416,2.931173324584961,1215855.0
2002-07-05,3.517406200334173,3.517406200334173,2.952297544604576,3.1213018894195557,2310435.0
2002-07-08,3.2058045864105225,3.3272765954991943,3.1741162690616984,3.2058045864105225,1798010.0
2002-07-09,3.2586196624925767,3.2586196624925767,3.063208173465978,3.100177764892578,996845.0
2002-07-10,3.1160223606181154,3.1160223606181154,2.957580447497889,2.9892687797546387,678670.0
2002-07-11,2.957580139463724,3.020956797376497,2.883640705232155,2.931173324584961,390805.0
2002-07-12,2.962861294554289,2.9998308812725276,2.8836403558436867,2.9417357444763184,299840.0
2002-07-15,2.9047658104146303,2.931172873062056,2.7199171273918914,2.77801251411438,378595.0
2002-07-16,2.6671031426213627,2.8413890436785567,2.6671031426213627,2.7885751724243164,178760.0
2002-07-17,2.836108699741444,2.836108699741444,2.6406971696296146,2.68822979927063,301235.0
2002-07-18,2.7093543635655766,2.851951948393427,2.7093543635655766,2.820263624191284,258590.0
2002-07-19,2.8677958533874754,2.8677958533874754,2.751605336628147,2.7885751724243164,254705.0
2002-07-22,2.762168138141711,2.762168138141711,2.5667566866541014,2.6142890453338623,354885.0
2002-07-23,2.5826012510220857,2.714636083411467,2.540350144951317,2.6723849773406982,304155.0
2002-07-24,2.640696951990895,2.6512597297253993,2.492817811871351,2.5192248821258545,343245.0
2002-07-25,2.719917039941801,2.746323849903788,2.640696106383029,2.6565403938293457,490720.0
2002-07-26,2.640696383729,2.640696383729,2.4822544999706873,2.524505853652954,505665.0
2002-07-29,2.3766269053892577,2.4241595240847063,2.2181850109620607,2.297405958175659,419960.0
2002-07-30,2.3766268938202018,2.3766268938202018,2.1759338956790817,2.2129037380218506,535980.0
